VIDEO_ID,KEYWORD_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
츄베릅jmt_20250726,1,이번주말까지만 먹을수있다는 맘모스 쿠키샌드? #이웃집통통이 #초량온당 #맘모스 #쿠키먹방 #먹방asmr #mukbang #빵지순례,,츄베릅JMT,2025-07-26,PT1M,11916,322,17,youtube
츄베릅jmt_20250721,1,두찜은 이거랑 먹어야한다며?🧡 #두찜 #로제찜닭 #로제 #야식추천 #먹방asmr,,츄베릅JMT,2025-07-21,PT32S,87379,2105,23,youtube
츄베릅jmt_20250717,1,소스 잔뜩 두찜 로제찜닭🧡 #두찜 #로제찜닭 #치즈볼 #야식추천 #먹방asmr #mukbang #배달음식,,츄베릅JMT,2025-07-17,PT30S,313425,7476,62,youtube
츄베릅jmt_20250716,1,꾸덕함 michin 두찜 로제찜닭🧡 #두찜 #로제찜닭 #mukbang #먹방asmr #야식추천,,츄베릅JMT,2025-07-16,PT30S,313700,7672,57,youtube
츄베릅jmt_20250714,1,유행이라는 맛있는 벽돌? 드디어 먹어보았는데.. | 벽돌케이크 먹방ASMR,"안녕하세요 베릅입니당 이번에 쇼츠로 올린 벽돌케이크 영상을 가로버젼 긴 영상으로 가져와봤습니다!  오늘도 영상 봐주셔서 감사하고용! 구독, 좋아요, 알림설정은 사랑입니당 🫶  다음 영상에서 만나요 안뇽~  #벽돌케이크 #디저트먹방 #mukbang #야식추천 #간식추천 #asmr #빵순이브이로그 #빵지순례 #케이크 #먹방 #먹방asmr #먹방브이로그",츄베릅JMT,2025-07-14,PT2M19S,3575,53,19,youtube
츄베릅jmt_20250710,1,치즈볼에 소스 다 때려🧀 #치즈볼 #후참잘 #킹트리플 #양념치킨 #야식추천 #치킨먹방 #먹방asmr,,츄베릅JMT,2025-07-10,PT30S,63362,1242,22,youtube
츄베릅jmt_20250709,1,후참잘 숨겨진 ㅁㅊ메뉴❤️ #후참잘 #치킨먹방 #먹방asmr #먹방브이로그 #양념치킨 #야식추천,,츄베릅JMT,2025-07-09,PT30S,150599,3576,40,youtube
츄베릅jmt_20250707,1,벽돌케이크를 쿠키로 만들면? #벽돌케이크 #쿠키먹방 #쫀득쿠키 #먹방asmr #간식추천 #디저트먹방,,츄베릅JMT,2025-07-07,PT30S,26384,258,8,youtube
츄베릅jmt_20250707,1,벽돌케이크 쿠키 버젼?❤️ #벽돌케이크 #쫀득쿠키 #먹방asmr #디저트먹방 #간식추천,,츄베릅JMT,2025-07-07,PT31S,29400,298,15,youtube
츄베릅jmt_20250706,1,비냉 vs 물냉 ? ❄️ #살얼음냉면 #냉면 #먹방asmr #먹방브이로그 #야식추천,,츄베릅JMT,2025-07-06,PT28S,150118,1505,30,youtube
츄베릅jmt_20250705,1,말차신상 털어보자💚 #말차 #디저트먹방 #먹방asmr #먹방브이로그 #간식추천,,츄베릅JMT,2025-07-05,PT31S,56238,736,20,youtube
츄베릅jmt_20250704,1,몇단계까지 가능? 7단계 말차초콜릿💚 #말차초콜릿 #말차 #나나야 #일본디저트 #먹방asmr #먹방브이로그 #디저트먹방,,츄베릅JMT,2025-07-04,PT1M,34493,476,26,youtube
츄베릅jmt_20250704,1,육회냐 연어냐 난 둘다🥰 #육회 #연어 #먹방asmr #야식추천,,츄베릅JMT,2025-07-04,PT30S,51407,866,23,youtube
츄베릅jmt_20250625,1,자담 맵슐랭은 하얀데 매워🥵 #자담치킨 #맵슐랭 #치킨먹방 #치킨추천 #먹방asmr #먹방브이로그 #먹방 #mukbang #야식추천 #asmr #매운치킨,,츄베릅JMT,2025-06-25,PT30S,93305,1473,35,youtube
츄베릅jmt_20250624,1,이 햄버거의 칼로리는?🤨 #버거킹 #햄버거 #햄버거먹방 #통새우와퍼 #치즈소스 #수제버거 #햄버거맛집 #먹방asmr #먹방 #먹방브이로그 #mukbang #야식추천 #asmr,,츄베릅JMT,2025-06-24,PT29S,84292,968,47,youtube
츄베릅jmt_20250623,1,뿌링클에 보들보들치즈볶음면 조합은? #뿌링클 #뿌링치즈볼 #뿌링클먹방 #치킨먹방 #라면먹방 #불닭볶음면 #먹방asmr #먹방브이로그 #먹방 #mukbang #야식추천 #asmr,,츄베릅JMT,2025-06-23,PT30S,127646,2912,37,youtube
츄베릅jmt_20250622,1,량진희 레몬무뼈닭발이 찐이라길래..🍋#레몬무뼈닭발 #량진희 #먹방asmr #먹방브이로그 #먹방 #닭발 #닭발먹방 #mukbang #야식추천 #asmr,,츄베릅JMT,2025-06-22,PT53S,91123,1169,18,youtube
츄베릅jmt_20250622,1,치킨은 날개vs다리? 🍗 #핫뿌링클 #뿌링클 #뿌링치즈볼 #뿌링클먹방 #치즈볼 #bhc #먹방asmr #먹방브이로그 #먹방 #mukbang #야식추천 #asmr #치킨먹방,,츄베릅JMT,2025-06-22,PT30S,109514,2113,21,youtube
츄베릅jmt_20250621,1,바삭바삭 황금올리브는 못참즤❤️ #황금올브 #비비큐 #bbq #후라이드치킨 #먹방asmr #치킨먹방 #치킨추천 #먹방브이로그 #먹방 #mukbang #야식추천 #asmr,,츄베릅JMT,2025-06-21,PT30S,100040,1860,33,youtube
츄베릅jmt_20250620,1,재업ㅠ)군필들이면 다 아는 이것?🫡🪖 #군대음식 #군대 #맛다시 #봉지밥 #먹방asmr #먹방브이로그 #먹방 #mukbang #asmr #야식추천 #참치마요,,츄베릅JMT,2025-06-20,PT30S,41008,470,33,youtube
츄베릅jmt_20250620,1,마라샹궈 땡기는 날..🫠 #마라샹궈 #마라샹궈먹방 #마라탕 #먹방asmr #먹방브이로그 #mukbang #먹방 #야식추천 #asmr #배달음식,,츄베릅JMT,2025-06-20,PT30S,188638,2666,28,youtube
츄베릅jmt_20250616,1,이 나감 주의;; #콩볼 #빵지순례 #빵먹방 #쭈롱베이커리 #먹방asmr #먹방브이로그 #먹방 #mukbang #asmr #간식추천 #디저트먹방,,츄베릅JMT,2025-06-16,PT26S,30839,312,23,youtube
